City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
149,anadyr,64.75,177.4833,-26.67,82,40,6.0,RU,1707676149
150,camayenne,9.535,-13.6878,32.05,62,69,5.14,GN,1707676479
151,bubaque,11.2833,-15.8333,26.64,60,0,5.26,GW,1707676040
152,touros,-5.1989,-35.4608,30.36,64,55,6.11,BR,1707676111
153,salinas,36.6777,-121.6555,15.9,72,0,6.17,US,1707676445
154,kalmunai,7.4167,81.8167,25.24,81,40,4.8,LK,1707676480
155,tual,-5.6667,132.75,28.38,80,100,5.97,ID,1707676067
156,hammerfest,70.6634,23.6821,-1.75,93,75,0.0,NO,1707676105
157,cidade velha,14.9167,-23.6167,27.26,54,0,7.2,CV,1707676482
158,ballina,-28.8667,153.5667,21.55,79,88,4.64,AU,1707676482
159,sokoni,-6.4333,39.55,28.15,80,99,4.47,TZ,1707676482
160,qaqortoq,60.7167,-46.0333,-15.98,75,54,2.11,GL,1707675972
161,patacamaya,-17.2333,-67.9167,15.9,50,100,4.31,BO,1707676483
162,cill airne,52.05,-9.5167,5.03,87,20,3.6,IE,1707676221
163,stettler,52.3168,-112.7186,-0.14,80,35,6.69,CA,1707676484
164,fortuna,40.5982,-124.1573,13.32,88,20,1.34,US,1707676484
165,mount pearl,47.5166,-52.7813,4.07,83,75,4.63,CA,1707676056
166,miyoshi,35.0833,137.0667,6.79,79,80,3.76,JP,1707676485
167,palmer,42.1584,-72.3287,7.86,55,75,4.63,US,1707676486
168,banda aceh,5.5577,95.3222,25.87,77,0,6.38,ID,1707676442
169,cabo san lucas,22.8909,-109.9124,23.12,56,0,3.09,MX,1707676104
170,miracema do tocantins,-9.5618,-48.3967,24.82,87,100,3.51,BR,1707676487
171,pisco,-13.7,-76.2167,28.03,65,0,8.75,PE,1707676048
172,vesoul,47.5833,5.8333,8.45,88,99,6.0,FR,1707676488
173,chokwe,-24.5333,32.9833,22.87,67,1,2.61,MZ,1707676489
